UNIQUE_KEY,PRODUCT_TITLE,PRODUCT_DESCRIPTION,STYLE#,AVAILABLE_SIZES,BRAND_LOGO_IMAGE,THUMBNAIL_IMAGE,COLOR_SWATCH_IMAGE,PRODUCT_IMAGE,SPEC_SHEET,PRICE_TEXT,SUGGESTED_PRICE,CATEGORY_NAME,SUBCATEGORY_NAME,COLOR_NAME,COLOR_SQUARE_IMAGE,COLOR_PRODUCT_IMAGE,COLOR_PRODUCT_IMAGE_THUMBNAIL,SIZE,PIECE_WEIGHT,PIECE_PRICE,DOZENS_PRICE,CASE_PRICE,PRICE_GROUP,CASE_SIZE,INVENTORY_KEY,SIZE_INDEX,SANMAR_MAINFRAME_COLOR,MILL,PRODUCT_STATUS,COMPANION_STYLE,MSRP,MAP_PRICING,FRONT_MODEL_IMAGE_URL,PRODUCT_MEASUREMENTS
1291722,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,10.5,T-Shirts , ,White,BC3483_White_VPI26.gif,BC3483_white_model_front.jpg,BC3483_white_model_frontTN.jpg,S,0.2200,7.25,7.25,5.25,CR,72,129172,2,White,Bella + Canvas,New,BC3483,10.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_white_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291723,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,10.5,T-Shirts , ,White,BC3483_White_VPI26.gif,BC3483_white_model_front.jpg,BC3483_white_model_frontTN.jpg,M,0.2500,7.25,7.25,5.25,CR,72,129172,3,White,Bella + Canvas,New,BC3483,10.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_white_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291724,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,10.5,T-Shirts , ,White,BC3483_White_VPI26.gif,BC3483_white_model_front.jpg,BC3483_white_model_frontTN.jpg,L,0.2600,7.25,7.25,5.25,CR,72,129172,4,White,Bella + Canvas,New,BC3483,10.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_white_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291725,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,10.5,T-Shirts , ,White,BC3483_White_VPI26.gif,BC3483_white_model_front.jpg,BC3483_white_model_frontTN.jpg,XL,0.2900,7.25,7.25,5.25,CR,72,129172,5,White,Bella + Canvas,New,BC3483,10.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_white_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1291731,BELLA+CANVAS® Unisex Jersey Muscle Tank BC3483,Retail fitTear-away labelCrew necklineCut-off sleeves with wide armholesSide seamed4.2-ounce 100% Airlume combed and ring spun cotton 32 singlesHeathers: 52/48 Airlume combed and ring spun cotton/polyester ,BC3483,Unisex Sizes: XS-2XL,Bella Logo 2000.jpg,BC3483TN.jpg,BC3483sw.jpg,BC3483.jpg,SpecSheetMeasurements_BC3483.pdf,Size,13.5,T-Shirts , ,White,BC3483_White_VPI26.gif,BC3483_white_model_front.jpg,BC3483_white_model_frontTN.jpg,2XL,0.3200,8.75,8.75,6.75,CX,72,129173,1,White,Bella + Canvas,New,BC3483,13.5,,https://cdnm.sanmar.com/imglib/mresjpg/2026/f2/BC3483_white_model_front.jpg,SpecSheetMeasurements_BC3483.pdf,
1293611,BELLA+CANVAS ® Unisex Jersey Short Sleeve Tee. BC3001,Retail fit Tear-away label Side seamed Shoulder taping Solid Colors: 4.2-ounce 100% Airlume combed and ring spun cotton 32 singles Ash: 99/1 Airlume combed and ring spun cotton/poly Athletic Heather/Black Heather: 90/10 Airlume combed and ring spun cotton/poly Heather CVC/Blend Colors: 52/48 Airlume combed and ring spun cotton/poly Prism: 99/1 Airlume combed and ring spun cotton/poly ,BC3001,Unisex Sizes: XS-5XL,Bella Logo 2000.jpg,BC3001TN.jpg,BC3001sw.jpg,BC3001.jpg,SpecSheetMeasurements_BC3001.pdf,Size,9.6,T-Shirts , ,Aqua,bc_aqua.gif,BC3001_aqua_flat_front.jpg,BC3001_aqua_flat_frontTN.jpg,XS,0.2200,5.80,5.80,4.80,CR,72,129361,1,Aqua,Bella + Canvas,Regular,BC3001|BC3001CVC|BC3501|BC6004|BC3001Y|BC3001U|BC3005,9.6,,https://cdnm.sanmar.com/imglib/mresjpg/2018/f3/BC3001_aqua_flat_front.jpg,SpecSheetMeasurements_BC3001.pdf,
1293612,BELLA+CANVAS ® Unisex Jersey Short Sleeve Tee. BC3001,Retail fit Tear-away label Side seamed Shoulder taping Solid Colors: 4.2-ounce 100% Airlume combed and ring spun cotton 32 singles Ash: 99/1 Airlume combed and ring spun cotton/poly Athletic Heather/Black Heather: 90/10 Airlume combed and ring spun cotton/poly Heather CVC/Blend Colors: 52/48 Airlume combed and ring spun cotton/poly Prism: 99/1 Airlume combed and ring spun cotton/poly ,BC3001,Unisex Sizes: XS-5XL,Bella Logo 2000.jpg,BC3001TN.jpg,BC3001sw.jpg,BC3001.jpg,SpecSheetMeasurements_BC3001.pdf,Size,9.6,T-Shirts , ,Aqua,bc_aqua.gif,BC3001_aqua_flat_front.jpg,BC3001_aqua_flat_frontTN.jpg,S,0.2700,5.80,5.80,4.80,CR,72,129361,2,Aqua,Bella + Canvas,Regular,BC3001|BC3001CVC|BC3501|BC6004|BC3001Y|BC3001U|BC3005,9.6,,https://cdnm.sanmar.com/imglib/mresjpg/2018/f3/BC3001_aqua_flat_front.jpg,SpecSheetMeasurements_BC3001.pdf,
1293613,BELLA+CANVAS ® Unisex Jersey Short Sleeve Tee. BC3001,Retail fit Tear-away label Side seamed Shoulder taping Solid Colors: 4.2-ounce 100% Airlume combed and ring spun cotton 32 singles Ash: 99/1 Airlume combed and ring spun cotton/poly Athletic Heather/Black Heather: 90/10 Airlume combed and ring spun cotton/poly Heather CVC/Blend Colors: 52/48 Airlume combed and ring spun cotton/poly Prism: 99/1 Airlume combed and ring spun cotton/poly ,BC3001,Unisex Sizes: XS-5XL,Bella Logo 2000.jpg,BC3001TN.jpg,BC3001sw.jpg,BC3001.jpg,SpecSheetMeasurements_BC3001.pdf,Size,9.6,T-Shirts , ,Aqua,bc_aqua.gif,BC3001_aqua_flat_front.jpg,BC3001_aqua_flat_frontTN.jpg,M,0.3000,5.80,5.80,4.80,CR,72,129361,3,Aqua,Bella + Canvas,Regular,BC3001|BC3001CVC|BC3501|BC6004|BC3001Y|BC3001U|BC3005,9.6,,https://cdnm.sanmar.com/imglib/mresjpg/2018/f3/BC3001_aqua_flat_front.jpg,SpecSheetMeasurements_BC3001.pdf,
1293614,BELLA+CANVAS ® Unisex Jersey Short Sleeve Tee. BC3001,Retail fit Tear-away label Side seamed Shoulder taping Solid Colors: 4.2-ounce 100% Airlume combed and ring spun cotton 32 singles Ash: 99/1 Airlume combed and ring spun cotton/poly Athletic Heather/Black Heather: 90/10 Airlume combed and ring spun cotton/poly Heather CVC/Blend Colors: 52/48 Airlume combed and ring spun cotton/poly Prism: 99/1 Airlume combed and ring spun cotton/poly ,BC3001,Unisex Sizes: XS-5XL,Bella Logo 2000.jpg,BC3001TN.jpg,BC3001sw.jpg,BC3001.jpg,SpecSheetMeasurements_BC3001.pdf,Size,9.6,T-Shirts , ,Aqua,bc_aqua.gif,BC3001_aqua_flat_front.jpg,BC3001_aqua_flat_frontTN.jpg,L,0.3300,5.80,5.80,4.80,CR,72,129361,4,Aqua,Bella + Canvas,Regular,BC3001|BC3001CVC|BC3501|BC6004|BC3001Y|BC3001U|BC3005,9.6,,https://cdnm.sanmar.com/imglib/mresjpg/2018/f3/BC3001_aqua_flat_front.jpg,SpecSheetMeasurements_BC3001.pdf,
1293615,BELLA+CANVAS ® Unisex Jersey Short Sleeve Tee. BC3001,Retail fit Tear-away label Side seamed Shoulder taping Solid Colors: 4.2-ounce 100% Airlume combed and ring spun cotton 32 singles Ash: 99/1 Airlume combed and ring spun cotton/poly Athletic Heather/Black Heather: 90/10 Airlume combed and ring spun cotton/poly Heather CVC/Blend Colors: 52/48 Airlume combed and ring spun cotton/poly Prism: 99/1 Airlume combed and ring spun cotton/poly ,BC3001,Unisex Sizes: XS-5XL,Bella Logo 2000.jpg,BC3001TN.jpg,BC3001sw.jpg,BC3001.jpg,SpecSheetMeasurements_BC3001.pdf,Size,9.6,T-Shirts , ,Aqua,bc_aqua.gif,BC3001_aqua_flat_front.jpg,BC3001_aqua_flat_frontTN.jpg,XL,0.3500,5.80,5.80,4.80,CR,72,129361,5,Aqua,Bella + Canvas,Regular,BC3001|BC3001CVC|BC3501|BC6004|BC3001Y|BC3001U|BC3005,9.6,,https://cdnm.sanmar.com/imglib/mresjpg/2018/f3/BC3001_aqua_flat_front.jpg,SpecSheetMeasurements_BC3001.pdf,
